"order"	"script_id"	"stage"	"script"	"run_policy"	"notes"	"artifact_ids"	"manuscript_outputs"	"final_filenames"	"source_confidence"	"manuscript_role"
1	"0_1"	"cohort_selection"	"0_1_select_additional_samples_for_cohort_expansion.R"	"run"	"Identifies additional eligible samples and timepoint classes."	""	""	""	""	"upstream_dependency_or_intermediate"
2	"1_0"	"clinical_processing"	"1_0_Process_clinical_metadata.R"	"run"	"Harmonises clinical metadata across cohorts."	""	""	""	""	"upstream_dependency_or_intermediate"
3	"1_1A"	"clinical_processing"	"1_1A_Process_post_ACST_and_clinical_OS_PFS_and_clinical_FISH_metadata.R"	"run"	"Processes transplant, OS/PFS, progression, and FISH metadata."	""	""	""	""	"upstream_dependency_or_intermediate"
4	"1_1B"	"clinical_processing"	"1_1B_Process_clinical_labs.R"	"run"	"Processes cross-cohort clinical laboratory, staging, demographic, and FISH fields."	""	""	""	""	"upstream_dependency_or_intermediate"
5	"1_2"	"mutation_processing"	"1_2_Process_Mutation_Data.R"	"run"	"Processes bone-marrow and cfDNA MAF files."	""	""	""	""	"upstream_dependency_or_intermediate"
6	"1_2_part2"	"mutation_processing"	"1_2_Part2_Get_Mutation_Overlap.R"	"run"	"Computes paired bone-marrow/cfDNA mutation overlap and Extended Data Figure 2G."	"EDFIG2G"	"Extended_Data_Figure_2G"	"Extended_Data_Figure_2.pdf"	"confirmed"	"direct_manuscript_output_or_panel"
7	"1_3"	"translocation_processing"	"1_3_Process_Ig_Translocation_Info.R"	"run"	"Processes Ig-caller structural-variant calls into the reviewed translocation feature matrix."	""	""	""	""	"upstream_dependency_or_intermediate"
8	"1_4"	"ichor_cna_processing"	"1_4_Process_CNA_Data.R"	"run"	"Processes ichorCNA segments into arm-level and FISH-locus CNA features."	""	""	""	""	"upstream_dependency_or_intermediate"
9	"1_4A"	"sequenza_cna_processing"	"1_4A_Process_sequenza_CNA_Data.R"	"run"	"Processes Sequenza segments and purity/ploidy outputs."	""	""	""	""	"upstream_dependency_or_intermediate"
10	"1_5"	"feature_integration"	"1_5_Integrate_WGS_Feature_Data.R"	"run"	"Integrates mutation, CNA, translocation, tumour-fraction, and clinical sample features."	""	""	""	""	"upstream_dependency_or_intermediate"
11	"1_6"	"sample_qc"	"1_6_Identify_High_Quality_Patient_Pairs.R"	"run"	"Defines high-quality baseline pairs, cohort assignment, and the Figure 1B source table."	"FIG1B"	"Figure_1B"	"Figure_1.pdf"	"probable"	"direct_manuscript_output_or_panel"
12	"1_7A"	"fragmentomics_processing"	"1_7A_Process_fragmentomics_data_nucleosome_accessibility.R"	"run"	"Processes nucleosome-accessibility features."	""	""	""	""	"upstream_dependency_or_intermediate"
13	"1_7B"	"fragmentomics_processing"	"1_7B_Process_fragment_score_and_inetegrate_fragmentomics_data.R"	"run"	"Processes fragment-size scores and integrates fragmentomics."	""	""	""	""	"upstream_dependency_or_intermediate"
14	"1_7C"	"dilution_series_processing"	"1_7C_Process_fragmentomics_data_dilution_series_updated.R"	"run"	"Processes dilution-series fragmentomics."	""	""	""	""	"upstream_dependency_or_intermediate"
15	"1_7E"	"platform_harmonization"	"1_7E_Harmonize_Fragmentomics_Sequencing_Platforms.R"	"run"	"Builds fragmentomics platform-harmonization inputs used by Extended Data Figure 3F-G."	""	""	""	""	"upstream_dependency_or_intermediate"
16	"1_8"	"mrdetect_processing"	"1_8_Process_Cumulative_VAFs_MRDetect.R"	"run"	"Processes MRDetect outputs for patient samples."	""	""	""	""	"upstream_dependency_or_intermediate"
17	"1_8A"	"dilution_series_processing"	"1_8A_Process_Cumulative_VAFs_for_dilution_series.R"	"run"	"Processes MRDetect outputs for the dilution series."	""	""	""	""	"upstream_dependency_or_intermediate"
18	"1_8B"	"mrdetect_processing"	"1_8B_Export_MRDetect_patient_feature_table.R"	"run"	"Exports the combined MRDetect patient feature table."	""	""	""	""	"upstream_dependency_or_intermediate"
19	"1_8C"	"platform_harmonization"	"1_8C_Analyze_MRDetect_Healthy_Control_Platform_Calibration.R"	"run"	"Analyzes the MRDetect healthy-control platform shift and matched-reference calibration used by Extended Data Figure 3D-E."	""	""	""	""	"upstream_dependency_or_intermediate"
20	"1_8D"	"platform_harmonization"	"1_8D_Build_ED3DE_MRDetect_Platform_Calibration.R"	"run"	"Builds Extended Data Figure 3D-E platform-calibration panels and source data."	""	""	""	""	"upstream_dependency_or_intermediate"
21	"1_8E"	"platform_harmonization"	"1_8E_Build_ED3FG_Fragmentomics_Platform_Calibration.R"	"run"	"Builds Extended Data Figure 3F-G fragmentomics calibration panels and source data."	""	""	""	""	"upstream_dependency_or_intermediate"
22	"1_9"	"dilution_series_processing"	"1_9_Create_dilution_series_eligibility_table.R"	"run"	"Creates dilution-series eligibility and dilution-plan tables."	""	""	""	""	"upstream_dependency_or_intermediate"
23	"1_10"	"mrdetect_processing"	"1_10_Estimate_MRDetect_LOD_proxy.R"	"run"	"Annotates the MRDetect baseline/control table with a limit-of-detection proxy."	""	""	""	""	"upstream_dependency_or_intermediate"
24	"2_0"	"master_table"	"2_0_Assemble_Table_With_All_Features.R"	"run"	"Assembles the final integrated feature and clinical table."	""	""	""	""	"upstream_dependency_or_intermediate"
25	"2_1"	"main_table"	"2_1_Clinical_Demographics_Table.R"	"run"	"Generates Table 1 source outputs."	"TABLE1_DOCX; TABLE1_PDF"	"Table_1"	"Table_1_Baseline_Clinical_Demographics.docx; Table_1_Baseline_Clinical_Demographics.pdf"	"probable"	"direct_manuscript_output_or_panel"
26	"2_1_part2"	"figure_generation"	"2_1_Part2_Cohort_Swim_Plot.R"	"run"	"Generates Figure 1A and Supplementary Table 1."	"FIG1A; STABLE1"	"Figure_1A; Supplementary_Table_1"	"Figure_1.pdf; Supplementary_Table_1_all_events_for_swim_plot.csv"	"confirmed"	"direct_manuscript_output_or_panel"
27	"2_2"	"figure_generation"	"2_2_Baseline_demographics_by_WGS_heatmap_updated.R"	"run"	"Generates Extended Data Figure 1 and Supplementary Table 1A."	"EDFIG1; STABLE1A"	"Extended_Data_Figure_1; Supplementary_Table_1A"	"Extended_Data_Figure_1.pdf; Supplementary_Table_1A_MM_disease_associated_features_catalog.csv"	"confirmed"	"direct_manuscript_output_or_panel"
28	"2_3"	"table_and_figure_generation"	"2_3_Feature_Concordance_And_Mutation_Counts.R"	"run"	"Generates Extended Data Figure 2 and Supplementary Tables 2-3."	"EDFIG2A; EDFIG2B_D_B; EDFIG2B_D_C; EDFIG2B_D_D; EDFIG2E; EDFIG2F; STABLE2; STABLE3"	"Extended_Data_Figure_2A; Extended_Data_Figure_2B; Extended_Data_Figure_2C; Extended_Data_Figure_2D; Extended_Data_Figure_2E; Extended_Data_Figure_2F; Supplementary_Table_2; Supplementary_Table_3"	"Extended_Data_Figure_2.pdf; Supplementary_Table_2_SV_CNA_performance_summary_updated.xlsx; Supplementary_Table_3_All_Feature_Correlations.csv"	"confirmed; probable"	"direct_manuscript_output_or_panel"
29	"2_4"	"longitudinal_generation"	"2_4_Longitudinal_features_analysis.R"	"run"	"Generates Figure 2A-D, Extended Data Figure 3A-C, and Extended Data Figure 4."	"FIG2A; FIG2B; FIG2C; FIG2D; EDFIG3A; EDFIG3B; EDFIG3C; EDFIG4"	"Figure_2A; Figure_2B; Figure_2C; Figure_2D; Extended_Data_Figure_3A; Extended_Data_Figure_3B; Extended_Data_Figure_3C; Extended_Data_Figure_4"	"Figure_2.pdf; Extended_Data_Figure_3.pdf; Extended_Data_Figure_4.pdf"	"probable; confirmed"	"direct_manuscript_output_or_panel"
30	"2_4B"	"longitudinal_generation"	"2_4B_Build_all_evaluable_longitudinal_panels.R"	"run"	"Generates Figure 2E and all-evaluable longitudinal companion panels."	""	""	""	""	"upstream_dependency_or_intermediate"
31	"3_1"	"model_training"	"3_1_Optimize_cfWGS_thresholds.R"	"cache_sensitive"	"Fits or loads the original model library and produces model-performance outputs; excluded unless --include-cache-sensitive is supplied."	"FIG3A; FIG3B; FIG4A; FIG4B; EDFIG5A; EDFIG5B; EDFIG5C; EDFIG7A; EDFIG7B; EDFIG7C; EDFIG7E; EDFIG9A; EDFIG9B; EDFIG9C; EDFIG9D; EDFIG9E; EDFIG9F; STABLE4; STABLE5; STABLE6"	"Figure_3A; Figure_3B; Figure_4A; Figure_4B; Extended_Data_Figure_5A; Extended_Data_Figure_5B; Extended_Data_Figure_5C; Extended_Data_Figure_7A; Extended_Data_Figure_7B; Extended_Data_Figure_7C; Extended_Data_Figure_7E; Extended_Data_Figure_9A; Extended_Data_Figure_9B; Extended_Data_Figure_9C; Extended_Data_Figure_9D; Extended_Data_Figure_9E; Extended_Data_Figure_9F; Supplementary_Table_4; Supplementary_Table_5; Supplementary_Table_6"	"Figure_3.pdf; Figure_4.pdf; Extended_Data_Figure_5.pdf; Extended_Data_Figure_7.pdf; Extended_Data_Figure_9.pdf; Supplementary_Table_4_All_Model_performance_nested_CV.csv; Supplementary_Table_5_All_Model_Metrics_Refit_on_main_cohort.csv; Supplementary_Table_6_All_Model_performance_nested_CV_on_test_cohort.csv"	"confirmed"	"direct_manuscript_output_or_panel"
32	"3_1_A"	"easym_processing"	"3_1_A_Process_and_optimize_EasyM.R"	"run"	"Processes EasyM/proteomic MRD data for downstream concordance and survival analyses."	""	""	""	""	"upstream_dependency_or_intermediate"
33	"3_1C_expanded"	"repeated_measures_sensitivity"	"3_1C_Expanded_test_clustered_sensitivity.R"	"run"	"Builds revision-inclusive patient-clustered and one-sample-per-patient sensitivity outputs and Supplementary Table 6."	""	""	""	""	"upstream_dependency_or_intermediate"
34	"3_1_part2"	"dilution_series_model_application"	"3_1_part2_Apply_cfWGS_thresholds_to_dilution_series.R"	"run"	"Applies frozen models and thresholds to dilution-series data."	"FIG3C; EDFIG5D; EDFIG7D; STABLE7_COR; STABLE7_SCORED"	"Figure_3C; Extended_Data_Figure_5D; Extended_Data_Figure_7D; Supplementary_Table_7_Correlations; Supplementary_Table_7_Scored_Data"	"Figure_3.pdf; Extended_Data_Figure_5.pdf; Extended_Data_Figure_7.pdf; Supplementary_Table_7_Dilution_Series_Combined.xlsx"	"confirmed"	"direct_manuscript_output_or_panel"
35	"3_2"	"figure_generation"	"3_2_Plot_optimal_cutoff_and_clinical_concordance.R"	"run"	"Generates clinical-concordance figures and Supplementary Tables 8 and 10."	"FIG3D; FIG3E; FIG4C; FIG4D; EDFIG5E; EDFIG5F; EDFIG5G; EDFIG7F; EDFIG7G; EDFIG7H; STABLE8; STABLE10; EDFIG5H; EDFIG7I"	"Figure_3D; Figure_3E; Figure_4C; Figure_4D; Extended_Data_Figure_5E; Extended_Data_Figure_5F; Extended_Data_Figure_5G; Extended_Data_Figure_7F; Extended_Data_Figure_7G; Extended_Data_Figure_7H; Supplementary_Table_8; Supplementary_Table_10; Extended_Data_Figure_5H; Extended_Data_Figure_7I"	"Figure_3.pdf; Figure_4.pdf; Extended_Data_Figure_5.pdf; Extended_Data_Figure_7.pdf; Supplementary_Table_8_model_comparisons_to_clinical_metrics.xlsx; Supplementary_Table_10_All_call_metrics_against_clinical_metrics.xlsx"	"confirmed"	"direct_manuscript_output_or_panel"
36	"4_1"	"survival_analysis"	"4_1_Survival_Analysis.R"	"run"	"Generates survival, relapse-detection figures, and Supplementary Table 9."	"FIG3F; FIG4E; EDFIG6A; EDFIG6B; EDFIG6C; EDFIG6D; EDFIG6E; EDFIG6F; EDFIG6G; EDFIG6H; EDFIG6I; EDFIG6J; EDFIG6K; EDFIG8A; EDFIG8B; EDFIG8C; EDFIG8D; EDFIG8E; EDFIG8F; STABLE9"	"Figure_3F; Figure_4E; Extended_Data_Figure_6A; Extended_Data_Figure_6B; Extended_Data_Figure_6C; Extended_Data_Figure_6D; Extended_Data_Figure_6E; Extended_Data_Figure_6F; Extended_Data_Figure_6G; Extended_Data_Figure_6H; Extended_Data_Figure_6I; Extended_Data_Figure_6J; Extended_Data_Figure_6K; Extended_Data_Figure_8A; Extended_Data_Figure_8B; Extended_Data_Figure_8C; Extended_Data_Figure_8D; Extended_Data_Figure_8E; Extended_Data_Figure_8F; Supplementary_Table_9"	"Figure_3.pdf; Figure_4.pdf; Extended_Data_Figure_6.pdf; Extended_Data_Figure_8.pdf; Supplementary_Table_9_timewindow_results_test_cohort.xlsx"	"confirmed"	"direct_manuscript_output_or_panel"
