"artifact_id"	"artifact_category"	"artifact"	"panel_or_sheet"	"final_filename"	"current_final_artifact_path"	"manuscript_source_path"	"workflow_output_path"	"final_assembly_or_export_source"	"source_component_or_original_output"	"generating_script"	"line_start"	"line_end"	"function_or_section"	"export_call"	"key_objects"	"input_files"	"intermediate_files"	"evidence_for_match"	"confidence"	"source_override_or_correction"	"notes"
"FIG1A"	"main_figure"	"Figure_1"	"A"	"Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Figure_1.pdf"	"reproducible_workflow/outputs/main_figures/Figure_1.pdf"	"PowerPoint slide 2 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Final Tables and Figures/Figure1A_swimplot_with_3_annotations_wide_updated10A.png"	"Scripts_2025/Final_Scripts/2_1_Part2_Cohort_Swim_Plot.R"	2641	2693	"Swim plot with three annotation tracks"	"ggsave(..., filename = 'Figure1A_swimplot_with_3_annotations_wide_updated10A.png')"	"p; all_events_for_swim_plot; treatment/relapse annotation objects"	"clinical metadata and treatment/MRD event tables generated upstream"	"Supplementary_Table_1_all_events_for_swim_plot.csv; swim plot PNG"	"Filename, visual content, panel text, and matching event table export support this mapping."	"confirmed"	""	"The final PDF was assembled outside this script from the exported PNG."
"FIG1B"	"main_figure"	"Figure_1"	"B"	"Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Figure_1.pdf"	"Figures_Exported/Final_Feb2026/Figure_1.pdf"	"reproducible_workflow/outputs/main_figures/Figure_1.pdf"	"PowerPoint slide 2 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (4 embedded image assets)"	"Table for creating sample flowchart updated3.csv; final visual panel created in Lucidchart/PowerPoint from this source table"	"Scripts_2025/Final_Scripts/1_6_Identify_High_Quality_Patient_Pairs.R"	356	453	"High-quality sample-pair counts used for flowchart"	"read sample-availability spreadsheet; join cohort_assignment_table_updated.rds; derive high_quality_BM/high_quality_cfDNA from All_feature_data_August2025.rds; write.csv(..., 'Table for creating sample flowchart updated3.csv')"	"failed_info; cohort_df; bm_good_patients; cfDNA_good_patients; high_quality_BM; high_quality_cfDNA"	"summary_table_of_samples_and_patient_availability_cfWGS - for making the flow chart of samples.xlsx; cohort_assignment_table_updated.rds; Jan2025_exported_data/All_feature_data_August2025.rds"	"Table for creating sample flowchart updated3.csv; Lucidchart/PowerPoint flowchart image"	"The source count table is regenerated byte-identically from code; the flowchart graphic itself remains external Lucidchart/PowerPoint assembly."	"probable"	""	"manual_assembly_required; Generated mode regenerates the exact source table, but final Figure 1B visual assembly remains manual."
"FIG2A"	"main_figure"	"Figure_2"	"A"	"Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"reproducible_workflow/outputs/main_figures/Figure_2.pdf"	"PowerPoint slide 3 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Final Tables and Figures/Longitudinal tracking deanonymized/CA-08_cVAF_vsHealthy_updated.png; Final Tables and Figures/Longitudinal tracking deanonymized/CA-02_cVAF_vsHealthy_updated.png"	"Scripts_2025/Final_Scripts/2_4_Longitudinal_features_analysis.R"	1797	1984	"Patient-level longitudinal cVAF examples for the two final Figure 2A patients"	"ggsave(..., '<patient>_cVAF_vsHealthy_updated.png')"	"combined_long; cVAF summaries; patient-level mutation tracking; id_map"	"mutation feature tables and longitudinal sample metadata; Merged_MRDetect_zscore; id_map.rds"	"CA-08_cVAF_vsHealthy_updated.png; CA-02_cVAF_vsHealthy_updated.png"	"PowerPoint component review found exact local matches for the two final Figure 2A embedded patient-level cVAF PNG panels."	"probable"	""	"Generated mode preserves the two exact retained PPT components. True redraw remains cached-intermediate because the original patient-level plotting block depends on longitudinal mutation-tracking objects and de-identification state that are not yet fully reconstructed in generate mode."
"FIG2B"	"main_figure"	"Figure_2"	"B"	"Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"reproducible_workflow/outputs/main_figures/Figure_2.pdf"	"PowerPoint slide 3 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Figure_2B_all_evaluable_BM_zscore_longitudinal.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Figure_2B_all_evaluable_BM_zscore_longitudinal.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Figure_2B_all_evaluable_BM_zscore_longitudinal.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"FIG2C"	"main_figure"	"Figure_2"	"C"	"Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"reproducible_workflow/outputs/main_figures/Figure_2.pdf"	"PowerPoint slide 3 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Figure_2C_all_evaluable_blood_zscore_longitudinal_capped300.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Figure_2C_all_evaluable_blood_zscore_longitudinal_capped300.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Figure_2C_all_evaluable_blood_zscore_longitudinal_capped300.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"FIG2D"	"main_figure"	"Figure_2"	"D"	"Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"reproducible_workflow/outputs/main_figures/Figure_2.pdf"	"PowerPoint slide 3 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Figure_2D_all_evaluable_fragmentomics_longitudinal.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	2440	2641	"All-evaluable longitudinal panel export"	"ggsave(..., 'Figure_2D_all_evaluable_fragmentomics_longitudinal.png'); ms_copy_artifact(...)"	"all-evaluable longitudinal plotting data and panel objects"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv; Exported_data_tables_clinical/Censor_dates_per_patient_for_PFS_updated.rds"	"Figure_2D_all_evaluable_fragmentomics_longitudinal.png; matching source-data CSV"	"Current export call and artifact registration in 2_4B identify this panel."	"confirmed"	""	"The script writes the individual panel and source data. Final multi-panel assembly is performed separately."
"FIG2E"	"main_figure"	"Figure_2"	"E"	"Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"Figures_Exported/Final_Feb2026/Figure_2.pdf"	"reproducible_workflow/outputs/main_figures/Figure_2.pdf"	"Final multi-panel assembly is performed separately from the analysis scripts."	"final_manuscript_objects/01_main_figures/Figure_2/Figure_2E/Fig_2E.png"	"Scripts_2025/Final_Scripts/2_4B_Build_all_evaluable_longitudinal_panels.R"	1237	2450	"Terminal evaluable sample comparison by relapse status"	"ggsave(..., 'Figure_2_terminal_sample_comparison_strip.png'); file.copy(..., 'Fig_2E.png')"	"terminal_point_data; terminal_statistics; terminal_group_counts; figure2_terminal_strip"	"All-evaluable longitudinal data assembled within 2_4B"	"Fig_2E.png; terminal_sample_patient_level_source_data.csv; terminal_sample_group_statistics.csv"	"Current script writes the terminal-sample strip and copies it to the Figure 2E panel folder."	"confirmed"	""	"One terminal evaluable sample per patient and metric; patient-level Wilcoxon comparisons are adjusted across 12 tests using Benjamini-Hochberg."
"FIG3A"	"main_figure"	"Figure_3"	"A"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Figure3A_BM_all_models_compact_updated_ROC.png"	"Scripts_2025/Final_Scripts/6_17_Generate_Compact_All_Model_Grouped_CV_ROC_Panels.R"	182	240	"Compact all-model mean outer-fold ROC panel"	"save_panel(..., 'Figure3A_BM_all_models_compact_updated_ROC')"	"figure_3a; BM mean ROC curves; panel_statistics"	"Completed 50-repeat combined patient-grouped repeated nested-CV output from 6_13"	"Figure3A_BM_all_models_compact_updated_ROC.png; compact_all_model_mean_roc_source_data.csv; compact_all_model_panel_statistics.csv"	"Current main-panel generator reads the completed grouped nested-CV result and writes the compact ROC panel."	"confirmed"	""	"Uses 50 repeated outer five-fold splits and five repeated inner five-fold splits. The plotting script does not refit models."
"FIG3B"	"main_figure"	"Figure_3"	"B"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Fig4C_confusion_tables_primary_updated5.png; Fig4C_confusion_tables_test5.png"	"Scripts_2025/Final_Scripts/3_1_Optimize_cfWGS_thresholds.R"	3942	4100	"BM model confusion matrices"	"ggsave(..., 'Fig4C_confusion_tables_primary_updated5.png'); ggsave(..., 'Fig4C_confusion_tables_test5.png')"	"nested_bm_validation_updated5.rds; cached BM caret models and thresholds; reconstructed train_bm/hold_bm; cm_df; p_tables"	"Final_aggregate_table_cfWGS_features_with_clinical_and_demographics_updated9.rds; cohort_assignment_table_updated.rds; baseline_high_quality_patients_updated.csv"	"BM confusion-matrix PNGs; nested_bm_validation_updated5.rds; Figure_3B_BM_train_confusion_source_data.csv; Figure_3B_BM_test_confusion_source_data.csv"	"Visual layout and train/test confusion-matrix labels match Figure 3B."	"confirmed"	""	"Generated mode attempts to rebuild these panels by applying cached caret models and thresholds to reconstructed BM training/test feature inputs. Training reconstruction is checked against cached outer-prediction row counts and truth distributions. If the current reconstruction does not exactly match the frozen model/prediction inputs, the retained manuscript component is copied and marked requires_cached_intermediate rather than refitting models, recomputing thresholds, or silently changing values."
"FIG3C"	"main_figure"	"Figure_3"	"C"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Final Tables and Figures/Fig3C_dilution_feature_rho_all_patients_with_series_points.png"	"Scripts_2025/Final_Scripts/3_1C_Summarize_dilution_correlations_across_patients.R"	519	1000	"Patient-weighted dilution-series correlation panel"	"ggsave(..., 'Fig3C_dilution_feature_rho_all_patients_with_series_points.png'); ms_copy_artifact(...)"	"all_four_replicate_rho; all_four_patient_rho; all_four_overall_rho; p_all_four_with_series"	"Point-level dilution source tables written by 3_1_part2_Apply_cfWGS_thresholds_to_dilution_series.R"	"Fig3C_dilution_feature_rho_all_patients_with_series_points.png; SourceData_Figure3C_dilution_feature_rho_all_four_patients.csv"	"Current script averages technical replicates within patient and gives each of four patients equal weight."	"confirmed"	""	"The pooled 48-library correlation remains supporting data for Supplementary Table 7 and is not used as the main Figure 3C panel."
"FIG3D"	"main_figure"	"Figure_3"	"D"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Output_figures_2025/Fig_4I_BM_positivity_by_tech_facet7.png"	"Scripts_2025/Final_Scripts/3_2_Plot_optimal_cutoff_and_clinical_concordance.R"	680	760	"BM MRD positivity by technology"	"ggsave(..., 'Fig_4I_BM_positivity_by_tech_facet7.png')"	"Fig_4I_BM_positivity_by_tech_facet6_source_data.csv; BM cfWGS calls; MFC; clonoSEQ; EasyM status"	"Output_tables_2025/Source_data/Fig_4I_BM_positivity_by_tech_facet6_source_data.csv"	"BM positivity-by-technology PNG; Figure_3D_BM_positivity_by_technology_source_data.csv"	"PPT extracted component for Figure 3D exactly matches Output_figures_2025/Fig_4I_BM_positivity_by_tech_facet7.png; older Final Tables and Figures copies are lower-resolution stale exports."	"confirmed"	""	"Generated mode redraws this panel from the exported faceted BM positivity source-data CSV. The source-data filename/label still says facet6, while the manuscript/PPT component is facet7; no model rescoring or threshold recomputation is performed."
"FIG3E"	"main_figure"	"Figure_3"	"E"	"Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"Figures_Exported/Final_Feb2026/Figure_3.pdf"	"reproducible_workflow/outputs/main_figures/Figure_3.pdf"	"PowerPoint slide 4 in Revision 1 prep/cfWGS_MRD_MM_Figures_Revision1_slim.pptx (5 embedded image assets)"	"Fig4K_cfWGS_vs_MFC_clonoSEQ_EasyM_BM_muts_updated5.png"	"Scripts_2025/Final_Scripts/3_2_Plot_optimal_cutoff_and_clinical_concordance.R"	3060	3288	"BM cfWGS comparison to MFC, clonoSEQ, and EasyM"	"ggsave(..., 'Fig4K_cfWGS_vs_MFC_clonoSEQ_EasyM_BM_muts_updated5.png')"	"Fig4K_cfWGS_vs_clinical_assays_EasyM_BM_source_data.csv; EasyM reference-threshold guide lines; deterministic Spearman labels; fixed cfWGS threshold and clonoSEQ/MFC LOD"	"exported BM point-level cfWGS-vs-clinical-assay/EasyM source data with EasyM reference-threshold guide lines"	"Fig4K_cfWGS_vs_MFC_clonoSEQ_EasyM_BM_muts_updated5.png; Fig4K_cfWGS_vs_clinical_assays_EasyM_BM_source_data.csv; Fig4K_cfWGS_vs_clinical_assays_EasyM_BM_correlations.csv; Supplementary_Table_8_model_comparisons_to_clinical_metrics.xlsx"	"Filename, assay labels, and table 8 comparison mapping support this source."	"confirmed"	""	"Generated mode redraws this panel from the exported point-level source-data CSV; Spearman labels are recomputed deterministically from exported points. No model rescoring, call recomputation, or threshold recomputation is performed. Section also contributes to Supplementary Table 8."
